scenario,scenario_label,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,alpha_deg,cl_total,cd_total,cm_total
clean_blowing,Clean blown wing,0.0,0.0,0.0,22.616666666666667,0.9588275971920304,0.40186041229877767,-0.26084330114270055
clean_blowing,Clean blown wing,0.0,0.0,0.0,22.9,0.9528178208458964,0.4133951392444064,-0.26067651022912486
clean_blowing,Clean blown wing,0.0,0.0,0.0,23.183333333333334,0.9484943380511113,0.4248705314730596,-0.26080396884370605
clean_blowing,Clean blown wing,0.0,0.0,0.0,23.466666666666665,0.9456869266259795,0.4362651850660684,-0.26122017967604766
clean_blowing,Clean blown wing,0.0,0.0,0.0,23.75,0.9442193226014364,0.44756519415362517,-0.2619099920731467
clean_blowing,Clean blown wing,0.0,0.0,0.0,24.03333333333333,0.9439184759209127,0.4587631176824061,-0.2628521332238933
clean_blowing,Clean blown wing,0.0,0.0,0.0,24.316666666666666,0.9446205158308757,0.4698568868117626,-0.26402193530116436
clean_blowing,Clean blown wing,0.0,0.0,0.0,24.599999999999998,0.9461742981994196,0.4808486834483739,-0.2653934112534372
clean_blowing,Clean blown wing,0.0,0.0,0.0,24.883333333333333,0.9484431971315076,0.4917438608899739,-0.26694076577776327
clean_blowing,Clean blown wing,0.0,0.0,0.0,25.166666666666664,0.9513056545956481,0.5025499687322439,-0.2686394243142626
clean_blowing,Clean blown wing,0.0,0.0,0.0,25.45,0.9546548872904054,0.513275919669787,-0.27046666985219014
clean_blowing,Clean blown wing,0.0,0.0,0.0,25.733333333333334,0.958398056146263,0.5239313119012268,-0.2724019778398441
clean_blowing,Clean blown wing,0.0,0.0,0.0,26.016666666666666,0.9624551257688148,0.5345259032051828,-0.27442713175648925
clean_blowing,Clean blown wing,0.0,0.0,0.0,26.299999999999997,0.9667575771849288,0.5450692219646639,-0.2765261890059471
clean_blowing,Clean blown wing,0.0,0.0,0.0,26.583333333333336,0.971247086437631,0.5555702951630154,-0.27868535217890916
clean_blowing,Clean blown wing,0.0,0.0,0.0,26.866666666666667,0.9758742425501181,0.5660374719619599,-0.2808927868196319
clean_blowing,Clean blown wing,0.0,0.0,0.0,27.15,0.9805973494403203,0.5764783224309009,-0.28313841489122427
clean_blowing,Clean blown wing,0.0,0.0,0.0,27.43333333333333,0.9853813356636281,0.5868995932310359,-0.28541370358705853
clean_blowing,Clean blown wing,0.0,0.0,0.0,27.71666666666667,0.9901967816146199,0.5973072048244662,-0.2877114619076755
clean_blowing,Clean blown wing,0.0,0.0,0.0,28.0,0.9950190644552258,0.6077062776126331,-0.2900256521953789
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-6.0,3.795415377606644,4.262600894041103,-0.7788026825319866
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-5.716666666666667,3.9986052671295074,4.3666695323788725,-0.8586503262147032
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-5.433333333333334,4.216451473502165,4.472335686628712,-0.9485433057588781
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-5.15,4.457643623257735,4.589623936228207,-1.011035789781283
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-4.866666666666667,4.648426278756805,4.71884745678848,-1.0369728538865919
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-4.583333333333334,4.793555817413351,4.849673652248628,-1.0486566586423194
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-4.3,4.914126070511729,4.976613072912746,-1.0565419940110883
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-4.016666666666667,5.016709483830558,5.096657590759904,-1.0639022128633957
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-3.7333333333333334,5.104451452149075,5.210163889319124,-1.0686380313307162
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-3.45,5.177112038808269,5.315683734833683,-1.0711711362498695
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-3.166666666666667,5.2376492361468046,5.410807291410048,-1.0724791513270902
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-2.8833333333333333,5.289161620573296,5.493978503499228,-1.0731959551842802
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-2.6,5.333896348871547,5.5641625842252,-1.0737458662693649
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-2.316666666666667,5.375038640347505,5.621874887586785,-1.0734808141148893
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-2.033333333333333,5.415259026003859,5.669046891715431,-1.0714256113355527
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-1.75,5.451136614555276,5.706163943260566,-1.0689494143906122
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-1.4666666666666668,5.481011260226713,5.734942197805493,-1.0671074091811406
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-1.1833333333333336,5.507078767440224,5.7599671088198265,-1.0655972135097709
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-0.9000000000000004,5.5310699632595535,5.786246318349897,-1.0640893024289375
slotted_flap_blowing,Slotted flap + blowing,0.0,0.0,0.0,-0.6166666666666671,5.5537066850214725,5.817884431294381,-1.062532887992392
