flap_span_fraction,flap_chord_fraction,flap_deflection_deg,flap_end_y_m,flap_area_m2,flap_area_ratio,blown_flap_area_m2,blown_clean_area_m2,actual_veff_mps,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,clean_clmax_unblown,clean_clmax_blown,flapped_clmax_unblown,flapped_clmax_blown,slot_gain,prop_drop_bonus,score
0.65,0.28,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,14.622,16.35959751700056,2.6439726964984307,1.2887905445105892,1.9269635090906871,1.9492445811012,2.034684679295039,2.1546759704203584,1.1125,1.03,2.7769726964984307
0.35,0.31,40.0,0.35,0.24499999999999997,0.35,0.10369799999999998,0.2874620000000001,14.622,15.663094449403854,2.702119117140536,1.1913462379693462,1.9269635090906871,1.9492445811012,1.807568968141748,2.0916416387024217,1.11925,1.03,2.7811191171405363
0.4,0.31,40.0,0.4,0.27999999999999997,0.39999999999999997,0.13869800000000002,0.2524620000000001,14.622,15.758234766867153,2.693949747887652,1.204656850213043,1.9269635090906871,1.9492445811012,1.807568968141748,2.0916416387024217,1.11925,1.03,2.7819497478876523
0.45,0.31,40.0,0.45,0.315,0.45,0.156464,0.23469600000000013,14.622,15.803588498413362,2.690081371431301,1.2110020669467283,1.9269635090906871,1.9492445811012,1.807568968141748,2.0916416387024217,1.11925,1.03,2.787081371431301
0.35,0.34,40.0,0.35,0.24499999999999997,0.35,0.10369799999999998,0.2874620000000001,14.622,15.574556704286968,2.7097886930997603,1.1789593590351162,1.9269635090906871,1.9492445811012,1.821479841492721,2.045496852474447,1.1260000000000001,1.03,2.7887886930997605
0.4,0.34,40.0,0.4,0.27999999999999997,0.39999999999999997,0.13869800000000002,0.2524620000000001,14.622,15.638866120571814,2.7042114201667067,1.187956572063297,1.9269635090906871,1.9492445811012,1.821479841492721,2.045496852474447,1.1260000000000001,1.03,2.7922114201667068
0.5,0.31,40.0,0.5,0.35,0.5,0.16505999999999998,0.2261000000000001,14.622,15.822451398297753,2.688477389004564,1.2136410821702133,1.9269635090906871,1.9492445811012,1.807568968141748,2.0916416387024217,1.11925,1.03,2.7944773890045638
0.55,0.31,40.0,0.55,0.385,0.55,0.20006000000000002,0.19110000000000008,14.622,15.917591715761052,2.680430758898145,1.2269516944139096,1.9269635090906871,1.9492445811012,1.807568968141748,2.0916416387024217,1.11925,1.03,2.7954307588981453
0.6,0.31,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,14.622,16.011680488761435,2.672543703264612,1.2401151902617809,1.9269635090906871,1.9492445811012,1.807568968141748,2.0916416387024217,1.11925,1.03,2.796543703264612
0.45,0.34,40.0,0.45,0.315,0.45,0.156464,0.23469600000000013,14.622,15.668912572381739,2.7016174000968984,1.1921602228393744,1.9269635090906871,1.9492445811012,1.821479841492721,2.045496852474447,1.1260000000000001,1.03,2.7986174000968984
