scenario,scenario_label,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,alpha_deg,cl_total,cd_total,cm_total
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.6166666666666671,2.9653944313699916,0.0613067819571536,-0.7672258301015638
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.3333333333333339,3.148278821517963,0.05944259643552485,-0.7531421280143786
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.04999999999999982,3.324898058542322,0.05831262011699051,-0.7408780567979959
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.2333333333333334,3.489869660990239,0.0574677440658688,-0.7293020596111058
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.5166666666666666,3.642972918920338,0.0567608991823583,-0.71731316995059
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.7999999999999998,3.7864997863507353,0.056147582554578364,-0.7047443087355133
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.083333333333333,3.922106500816128,0.05559228331693865,-0.6917961093593901
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.3666666666666663,4.0503714994741085,0.05506989995187704,-0.6786445843815487
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.6499999999999995,4.171293576030331,0.05456887317901561,-0.6653714796582171
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.9333333333333336,4.284723213797651,0.05408678829891453,-0.6519986267555871
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.216666666666667,4.390583613890102,0.05362600905945045,-0.6385262761998084
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.5,4.488948339307482,0.053191660774237495,-0.6249551320718625
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.783333333333333,4.580044476843461,0.052791400410290124,-0.6112958574165369
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.0666666666666664,4.664223650799984,0.052435757045299146,-0.5975730992486945
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.3499999999999996,4.741922150371161,0.05213769902242159,-0.5838285266268438
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.633333333333333,4.813620161652135,0.05191046311186781,-0.5701232145718651
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.916666666666666,4.879805834933236,0.051763972711315054,-0.5565358889120955
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.199999999999999,4.940945615784242,0.05170180075700549,-0.5431537002852959
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.4833333333333325,4.997457875674857,0.051721060593560034,-0.5300574884492865
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.766666666666666,5.049691140862573,0.05181636389708349,-0.5173088257838462
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.049999999999999,5.097917990071106,0.05198741444231719,-0.5049458989253146
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.333333333333332,5.142357205372292,0.05224975309799179,-0.4929833258137349
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.616666666666667,5.183219910166347,0.05265052543468239,-0.48139549195977627
