airfoil,flap_deflection_deg,cmu,veff_mps,reynolds,reynolds_inf,q_ratio,alpha_deg,cl_local,cd_local,cm_local,cl_equiv,cd_equiv,cm_equiv,cx_equiv,cl_wing_ref,cd_wing_ref,cm_wing_ref,cx_wing_ref
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,5.800000000000001,1.6258512956208753,0.03042117031100595,-0.2351433110521703,1.6258512956208753,0.03042117031100595,-0.2351433110521703,-0.19456794718795645,1.616095539143412,0.03023863115129745,-0.2337323573652568,-0.19340046187352564
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,6.0,1.6453352935711063,0.030755929347647593,-0.23442545037319906,1.6453352935711063,0.030755929347647593,-0.23442545037319906,-0.2025718149456564,1.6352277211829396,0.030566990483051813,-0.2329853352680688,-0.20132738209882825
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,6.200000000000001,1.664562424453133,0.0310522020533957,-0.23358321843028546,1.664562424453133,0.0310522020533957,-0.23358321843028546,-0.21064224597824013,1.654099592316118,0.030857019239704533,-0.23211499953470233,-0.20931822566620034
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,6.4,1.6834617806395948,0.031308909376144875,-0.23260907528042435,1.6834617806395948,0.031308909376144875,-0.23260907528042435,-0.21876747681997413,1.6726418376553722,0.031107680801642053,-0.23111405058720513,-0.2173614148272302
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,6.600000000000001,1.7019615757861455,0.03152656997622599,-0.2314978882846677,1.7019615757861455,0.03152656997622599,-0.2314978882846677,-0.22693624977638668,1.6907844010411792,0.031319527709968646,-0.2299775881866744,-0.22544590701201117
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,6.800000000000001,1.719983723980223,0.031707306467223355,-0.23024528523799162,1.719983723980223,0.031707306467223355,-0.23024528523799162,-0.23513716001876794,1.7084511708109398,0.031494707828881696,-0.2287014822606941,-0.23356055684387542
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,7.0,1.7374420314820986,0.03185487144536678,-0.22884676684160268,1.7374420314820986,0.03185487144536678,-0.22884676684160268,-0.24335834964535674,1.7255582160541345,0.0316369894062087,-0.22728149289913213,-0.24169381888252472
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,7.200000000000001,1.7542432331542657,0.031974671884670854,-0.22729746478401733,1.7542432331542657,0.031974671884670854,-0.22729746478401733,-0.2515875189160125,1.7420148102135609,0.031751783858765245,-0.2257130268450827,-0.24983376064021412
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,7.4,1.7702899607515798,0.03207377114899958,-0.2255924310438075,1.7702899607515798,0.03207377114899958,-0.2255924310438075,-0.2598121855276076,1.7577263399520375,0.03184614589705709,-0.22399141775122913,-0.2579683170933747
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,7.600000000000001,1.7854847579768565,0.032160854406910355,-0.22372735490302106,1.7854847579768565,0.032160854406910355,-0.22372735490302106,-0.2680201076250278,1.7725982279497954,0.03192873715462969,-0.2221126285582834,-0.26608570345308763
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,7.800000000000001,1.799734416764526,0.03224615143644576,-0.22169959329692115,1.799734416764526,0.03224615143644576,-0.22169959329692115,-0.2761997915000904,1.786540157938492,0.032009747629176896,-0.2200742635880829,-0.27417490854913795
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,8.0,1.8129541893838286,0.03234131634723189,-0.21950935933711807,1.8129541893838286,0.03234131634723189,-0.21950935933711807,-0.28434102931482264,1.7994701671457012,0.032100774676962436,-0.21787673723331036,-0.2822262153912584
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,8.200000000000001,1.8250717853122753,0.03245926371574681,-0.2171608550555867,1.8250717853122753,0.03245926371574681,-0.2171608550555867,-0.29243545037371815,1.811318519619039,0.03221465915734961,-0.215524387404404,-0.29023173297505
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,8.4,1.8360313919716504,0.032613955122592485,-0.2146630861928719,1.8360313919716504,0.032613955122592485,-0.2146630861928719,-0.30047710974615627,1.8220315972596404,0.03236527273161621,-0.21302627368950858,-0.29818596272628584
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,8.600000000000001,1.8457981228060858,0.03282012153033431,-0.21203010217124832,1.8457981228060858,0.03282012153033431,-0.21203010217124832,-0.3084631608114187,1.8315762058446017,0.032567241739579825,-0.2103964053605537,-0.30608644506740895
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,8.8,1.854363127616117,0.033092897635346834,-0.20928051289583197,1.854363127616117,0.033092897635346834,-0.20928051289583197,-0.31639463452019134,1.8399445282091147,0.032835583829267004,-0.2076532523910266,-0.31393450822576047
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,9.0,1.861748977529261,0.03344733659217136,-0.20643636925290895,1.861748977529261,0.03344733659217136,-0.20643636925290895,-0.3242772497150355,1.8471593486527396,0.033185225945850244,-0.20481862698455358,-0.3217360452972841
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,9.200000000000001,1.8680139804849651,0.03389777336383258,-0.20352178928459044,1.8680139804849651,0.03389777336383258,-0.20352178928459044,-0.33212201521755264,1.8532782390953872,0.03363037235549416,-0.20191631711715877,-0.32950208615001925
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,9.4,1.8732533562646299,0.03445701963366447,-0.20056187823030205,1.8732533562646299,0.03445701963366447,-0.20056187823030205,-0.33994524327678727,1.858394688435405,0.034183706145443825,-0.1989710190345273,-0.33724879357708026
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,9.600000000000001,1.877595525121475,0.03513539934142557,-0.1975823295295022,1.877595525121475,0.03513539934142557,-0.1975823295295022,-0.3477676170758056,1.8626344735122073,0.034855433546968705,-0.19600795454318615,-0.34499653608552333
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,9.8,1.8811934564433397,0.03593966390519438,-0.19460961097968876,1.8811934564433397,0.03593966390519438,-0.19460961097968876,-0.3556122247366591,1.8661472200939462,0.03565220985543509,-0.19305307664631935,-0.3527679528922112
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,10.0,1.8842132257025028,0.03687188621181329,-0.19167109963825169,1.8842132257025028,0.03687188621181329,-0.19167109963825169,-0.3635019123887458,1.8690952484330112,0.0365760447804776,-0.19013322733801394,-0.36058535625064686
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,10.2,1.8868230142246025,0.037928567150077405,-0.1887942952208813,1.8868230142246025,0.037928567150077405,-0.1887942952208813,-0.37145669270864984,1.8716428557748344,0.03762341841340723,-0.18727537834618807,-0.3684681922451543
