mode,sweep_type,velocity_mps,alpha_deg,cl,cl_required,cm,tail_cl,wing_profile_drag_n,wing_induced_drag_n,htail_drag_n,vtail_drag_n,fuselage_drag_n,total_drag_n,power_w,rpm,thrust_required_n,thrust_available_n,rpm_feasible,trim_feasible,added_drag_required_n,blown_effective_velocity_mps
clean,alpha,10.0,-4.0,0.05685379459494262,nan,-0.11426040847867706,-0.2539676795610792,0.7831004202998794,0.011712777939490465,0.1526241928851261,0.04013321565731767,0.6737500000000001,1.6613206067818136,36.17255615234375,4203.564453125,1.6613206067818136,1.6606286401324268,1.0,1.0,0.0,nan
clean,alpha,10.0,-3.75,0.08252584263043747,nan,-0.11345322902240941,-0.25217355422731647,0.7238823040593658,0.024678623488504536,0.15174276556476898,0.04013321565731767,0.6737500000000001,1.6141869087699572,35.50414794921875,4165.478515625,1.6141869087699572,1.6153632103392797,1.0,1.0,0.0,nan
clean,alpha,10.0,-3.5,0.10744284743264408,nan,-0.11251395650259415,-0.2500858244046326,0.6812435822727606,0.041830785150954224,0.15072496108133304,0.04013321565731767,0.6737500000000001,1.5876825441623654,35.10310302734375,4142.626953125,1.5876825441623654,1.588340117403533,1.0,1.0,0.0,nan
clean,alpha,10.0,-3.25,0.1323873152909877,nan,-0.11169870662697474,-0.24827376087422648,0.6449267356659737,0.06350877672105179,0.14984840795079044,0.04013321565731767,0.6737500000000001,1.5721671359951337,34.83573974609375,4127.392578125,1.5721671359951337,1.5703825045680295,1.0,1.0,0.0,nan
clean,alpha,10.0,-3.0,0.15787039032901218,nan,-0.11102897230579539,-0.24678513612890118,0.6145983459054165,0.09031135594981081,0.14913308178157533,0.04013321565731767,0.6737500000000001,1.5679259992941204,34.76889892578125,4123.583984375,1.5679259992941204,1.5659003975478507,1.0,1.0,0.0,nan
clean,alpha,10.0,-2.75,0.18381002395493157,nan,-0.11048079513250983,-0.2455666975941425,0.5885954607511739,0.12242761262526901,0.14855078928344156,0.04013321565731767,0.6737500000000001,1.5734570783172022,34.90258056640625,4131.201171875,1.5734570783172022,1.5748675381353985,1.0,1.0,0.0,nan
clean,alpha,10.0,-2.5,0.2101473981220213,nan,-0.11009552887857353,-0.24471036268489307,0.5661333347853129,0.1600254407314191,0.14814327087479626,0.04013321565731767,0.6737500000000001,1.588185262048846,35.10310302734375,4142.626953125,1.588185262048846,1.588340117403533,1.0,1.0,0.0,nan
clean,alpha,10.0,-2.25,0.23678794624421065,nan,-0.10993510137880427,-0.24435377897933258,0.546324267429808,0.20317027988080016,0.14797399723811452,0.04013321565731767,0.6737500000000001,1.6113517602060403,35.437307128906255,4161.669921875,1.6113517602060403,1.6108521981999955,1.0,1.0,0.0,nan
clean,alpha,10.0,-2.0,0.26334726075188003,nan,-0.11017091775819783,-0.24487793025337823,0.5278788922582663,0.25130354099800833,0.14822290202737545,0.04013321565731767,0.6737500000000001,1.6412885509409678,35.90519287109375,4188.330078125,1.6412885509409678,1.6424887984386354,1.0,1.0,0.0,nan
clean,alpha,10.0,-1.75,0.28904801981235884,nan,-0.11023552378715015,-0.2450215306787324,0.5041637739980289,0.30274779893860837,0.14829118693047152,0.04013321565731767,0.6737500000000001,1.6690859755244265,36.30623779296875,4211.181640625,1.6690859755244265,1.6697152131618611,1.0,1.0,0.0,nan
clean,alpha,10.0,-1.5,0.314125929417959,nan,-0.10947243756875427,-0.24332541179756098,0.4710888780075905,0.35755970519992175,0.1474872041055402,0.04013321565731767,0.6737500000000001,1.69001900297037,36.57360107421875,4226.416015625,1.69001900297037,1.6879213634667587,1.0,1.0,0.0,nan
clean,alpha,10.0,-1.25,0.33884923540413475,nan,-0.10780628704123708,-0.23962204342257418,0.43270196093540864,0.4160581344582983,0.14575116779269925,0.04013321565731767,0.6737500000000001,1.708394478843724,36.840964355468756,4241.650390625,1.708394478843724,1.7061711243045456,1.0,1.0,0.0,nan
clean,alpha,10.0,-1.0,0.36365140291590603,nan,-0.10601680426904568,-0.23564454331278953,0.4081256934254537,0.4791941771096685,0.14391628007986698,0.04013321565731767,0.6737500000000001,1.745119366272307,37.44253173828125,4275.927734375,1.745119366272307,1.7473901227933875,1.0,1.0,0.0,nan
clean,alpha,10.0,-0.75,0.39015125500447656,nan,-0.10518041045418729,-0.2337854829507003,0.3986843857881118,0.551578099245838,0.14306919630023568,0.04013321565731767,0.6737500000000001,1.8072148969915034,38.31146240234375,4325.439453125,1.8072148969915034,1.8073037554446594,1.0,1.0,0.0,nan
clean,alpha,10.0,-0.5,0.4174377866311903,nan,-0.1048118591716095,-0.23296630056476472,0.39454571042010506,0.6314289873907047,0.14269806413002015,0.04013321565731767,0.6737500000000001,1.8825559775981477,39.380915527343745,4386.376953125,1.8825559775981477,1.881632053388427,1.0,1.0,0.0,nan
clean,alpha,10.0,-0.25,0.4447807356387309,nan,-0.104699257743872,-0.2327160203172274,0.3931930090515036,0.7168576678231654,0.14258493398701327,0.04013321565731767,0.6737500000000001,1.9665188265190001,40.584050292968755,4454.931640625,1.9665188265190001,1.9659963378336553,1.0,1.0,0.0,nan
clean,alpha,10.0,0.0,0.471547673200872,nan,-0.10465573452244828,-0.23261928084553132,0.3929549688630332,0.8057349640816157,0.14254123898929472,0.04013321565731767,0.6737500000000001,2.0551143875912614,41.854025878906256,4527.294921875,2.0551143875912614,2.055865091508258,1.0,1.0,0.0,nan
clean,alpha,10.0,0.25,0.4978113372822293,nan,-0.104575500978523,-0.23244094499635162,0.39371630780675915,0.8979880630663019,0.14246073639768053,0.04013321565731767,0.6737500000000001,2.148048322928059,43.12400146484375,4599.658203125,2.148048322928059,2.146534571879487,1.0,1.0,0.0,nan
clean,alpha,10.0,0.5,0.524276007981442,nan,-0.10450447295628994,-0.23228307034641363,0.3953643612553306,0.9960037308286412,0.14238952171786295,0.04013321565731767,0.6737500000000001,2.2476408294591526,44.52765869140625,4679.638671875,2.2476408294591526,2.2476350681865127,1.0,1.0,0.0,nan
clean,alpha,10.0,0.75,0.5510884960049914,nan,-0.10446166515598446,-0.2321879210479344,0.3976330842473371,1.100483886250109,0.14234662478951743,0.04013321565731767,0.6737500000000001,2.354346810944281,45.99815673828125,4763.427734375,2.354346810944281,2.354499136016438,1.0,1.0,0.0,nan
clean,alpha,10.0,1.0,0.5782969588834055,nan,-0.10445237741582332,-0.23216727710093213,0.40038751665741534,1.2118331103101911,0.14233732003207103,0.04013321565731767,0.6737500000000001,2.4684411626569953,47.72362548828125,4847.216796875,2.4684411626569953,2.468925706236715,1.0,1.0,0.0,nan
clean,alpha,10.0,1.25,0.6058898081544428,nan,-0.10447402060298895,-0.23221538361565536,0.40350457878929613,1.3302347589559809,0.14235900415690605,0.04013321565731767,0.6737500000000001,2.5899815575595007,49.64658447265625,4931.005859375,2.5899815575595007,2.589603366283032,1.0,1.0,0.0,nan
clean,alpha,10.0,1.5,0.6338207517314407,nan,-0.10451085919274639,-0.23229726509396934,0.4069402059114259,1.4557067834655786,0.14239592275734628,0.04013321565731767,0.6737500000000001,2.7189261277916685,51.656950683593756,5018.603515625,2.7189261277916685,2.7169584645836165,1.0,1.0,0.0,nan
clean,alpha,10.0,1.75,0.6618747021623684,nan,-0.10453976177293202,-0.2323615071295161,0.4105433920059122,1.5874226088519559,0.14242489722353285,0.04013321565731767,0.6737500000000001,2.8542741137387186,53.842131347656256,5113.818359375,2.8542741137387186,2.8566979971360595,1.0,1.0,0.0,nan
clean,alpha,10.0,2.0,0.6899822037727253,nan,-0.10455065743656958,-0.23238572502308177,0.4142798900376168,1.7251099348271255,0.142435822066111,0.04013321565731767,0.6737500000000001,2.995708862588171,56.027312011718756,5209.033203125,2.995708862588171,2.99772935643771,1.0,1.0,0.0,nan
clean,alpha,10.0,2.25,0.7180793120890923,nan,-0.10453442943299662,-0.2323496548876236,0.41811725868242183,1.8684687001376639,0.14241955101838205,0.04013321565731767,0.6737500000000001,3.1428887254957854,58.29989990234375,5308.056640625,3.1428887254957854,3.14569761242267,1.0,1.0,0.0,nan
clean,alpha,10.0,2.5,0.7460824348008789,nan,-0.10447506605365009,-0.2322177073486267,0.4220283345735908,2.017040545316409,0.1423600516987637,0.04013321565731767,0.6737500000000001,3.295312147246081,60.57248779296875,5407.080078125,3.295312147246081,3.2949152663495718,1.0,1.0,0.0,nan
clean,alpha,10.0,2.75,0.7739093226493408,nan,-0.10436067230181505,-0.23196344328553914,0.42597382256621186,2.1703069140357862,0.142245491306261,0.04013321565731767,0.6737500000000001,3.452409443565577,62.93248291015625,5509.912109375,3.452409443565577,3.4511222512784845,1.0,1.0,0.0,nan
clean,alpha,10.0,3.0,0.8015498622327295,nan,-0.10419490700499155,-0.23159499520849702,0.4299470632669527,2.3281024346894914,0.14207970723714208,0.04013321565731767,0.6737500000000001,3.614012420850904,65.3785009765625,5612.744140625,3.614012420850904,3.6114949117197797,1.0,1.0,0.0,nan
clean,alpha,10.0,3.25,0.8289810254899607,nan,-0.10397433725958667,-0.23110473277054758,0.43397332560379637,2.4901767712339025,0.14185952114978448,0.04013321565731767,0.6737500000000001,3.779892833644801,68.2063818359375,5707.958984375,3.779892833644801,3.780630442950415,1.0,1.0,0.0,nan
clean,alpha,10.0,3.5,0.8561836827545958,nan,-0.1036960663340972,-0.23048621737946123,0.43809271723744464,2.65628635210713,0.14158239991456195,0.04013321565731767,0.6737500000000001,3.9498446849164544,71.0342626953125,5803.173828125,3.9498446849164544,3.9511098966552893,1.0,1.0,0.0,nan
clean,alpha,10.0,3.75,0.8830654220160377,nan,-0.10333919283116191,-0.22969299130365714,0.44250239784628087,2.825704586052869,0.14122808781388332,0.04013321565731767,0.6737500000000001,4.123318287370351,73.8621435546875,5898.388671875,4.123318287370351,4.122868189957276,1.0,1.0,0.0,nan
clean,alpha,10.0,4.0,0.909695075850136,nan,-0.10292301086078084,-0.22876793974205203,0.44735358320600577,2.9986976906087093,0.14081643576417427,0.04013321565731767,0.6737500000000001,4.300750925236207,76.80313964843751,5997.412109375,4.300750925236207,4.3027879347803335,1.0,1.0,0.0,nan
clean,alpha,10.0,4.25,0.9361007041285682,nan,-0.10245750871185129,-0.2277332637578821,0.45276016457085083,3.175310074003547,0.1403579685275675,0.04013321565731767,0.6737500000000001,4.482311422759283,79.74413574218751,6096.435546875,4.482311422759283,4.483960789898658,1.0,1.0,0.0,nan
clean,alpha,10.0,4.5,0.962297861736377,nan,-0.10195041515620322,-0.2266061421646458,0.4588288285118495,3.355521601343221,0.139860903526095,0.04013321565731767,0.6737500000000001,4.668094549038483,82.68513183593751,6195.458984375,4.668094549038483,4.666326669067155,1.0,1.0,0.0,nan
clean,alpha,10.0,4.75,0.9882912235765564,nan,-0.10140988537127961,-0.22540470155158937,0.4657237340854621,3.5392470174178223,0.1393337790628806,0.04013321565731767,0.6737500000000001,4.858187746223483,85.7392431640625,6298.291015625,4.858187746223483,4.856909032532612,1.0,1.0,0.0,nan
clean,alpha,10.0,5.0,1.0140782806846038,nan,-0.10085143194454885,-0.22416342189209812,0.4736459487960763,3.7263527104375047,0.13879211857272797,0.04013321565731767,0.6737500000000001,5.052673993463627,88.8054833984375,6401.123046875,5.052673993463627,5.048844635432541,1.0,1.0,0.0,nan
clean,alpha,10.0,5.25,1.0397127684769198,nan,-0.10029077684434935,-0.22291724855237718,0.4823298882151424,3.91712790200531,0.1382513314284349,0.04013321565731767,0.6737500000000001,5.251592337306206,92.8159326171875,6500.146484375,5.251592337306206,5.251104167251185,1.0,1.0,0.0,nan
clean,alpha,10.0,5.5,1.0651767602063702,nan,-0.09973098927295256,-0.2216730034770473,0.4917668785661015,4.1113491719835435,0.13771438881006864,0.04013321565731767,0.6737500000000001,5.454713655017032,96.82638183593751,6599.169921875,5.454713655017032,5.45457951520889,1.0,1.0,0.0,nan
clean,alpha,10.0,5.75,1.0904393034120332,nan,-0.09917226409138524,-0.22043111978553684,0.5019768533905204,4.308677519037386,0.13718146208603116,0.04013321565731767,0.6737500000000001,5.661719050171255,100.83683105468751,6698.193359375,5.661719050171255,5.659216756872992,1.0,1.0,0.0,nan
